"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7196","transferFile_success()","","Mon Sep 01 03:51:10 GMT 2025","passed","Mon Sep 01 03:51:17 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_success"
"","52","Policy is accepted Warranty Duration Months","","Mon Sep 01 03:49:46 GMT 2025","passed","Mon Sep 01 03:49:46 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2263","Refresh token success","","Mon Sep 01 03:49:26 GMT 2025","passed","Mon Sep 01 03:49:28 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_success"
"","42","5.4.2.1 Verifier should reject a presentation response message that contains a different credential than requested","","Mon Sep 01 03:49:29 GMT 2025","passed","Mon Sep 01 03:49:29 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_01_presentationResponse_tooFewCredentials"
"","30","Policy is accepted Confidential Information Measures","","Mon Sep 01 03:49:47 GMT 2025","passed","Mon Sep 01 03:49:47 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2058","transferFile_success(Vault)","","Mon Sep 01 03:50:52 GMT 2025","passed","Mon Sep 01 03:50:54 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_success"
"","537","retireAgreement_shouldFail_whenAgreementDoesNotExist()","","Mon Sep 01 03:49:51 GMT 2025","passed","Mon Sep 01 03:49:51 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.RetireAgreementTest","org.eclipse.tractusx.edc.tests.transfer.RetireAgreementTest","retireAgreement_shouldFail_whenAgreementDoesNotExist"
"","26","Policy is not accepted Policy with mutually exclusive constraints","","Mon Sep 01 03:49:47 GMT 2025","passed","Mon Sep 01 03:49:47 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","1870","Policy is accepted MembershipCredential","","Mon Sep 01 03:49:43 GMT 2025","passed","Mon Sep 01 03:49:45 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","67","BusinessPartnerDeleted event is published","","Mon Sep 01 03:49:34 GMT 2025","passed","Mon Sep 01 03:49:34 GMT 2025","","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","shouldPublishBusinessPartnerDeletedEvent"
"","2043","transferFile_azureToS3(Vault)","","Mon Sep 01 03:51:15 GMT 2025","passed","Mon Sep 01 03:51:18 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3"
"","29","Policy is accepted Data Usage End Date Definition","","Mon Sep 01 03:49:47 GMT 2025","passed","Mon Sep 01 03:49:47 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","3089","Contract policy is fulfilled DataExchangeGovernance use case","","Mon Sep 01 03:51:02 GMT 2025","passed","Mon Sep 01 03:51:05 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DimConsumerPullTest","transferData_whenContractPolicyFulfilled"
